location,total_crimes,0-21,22-50,50+,murder,burglary,robbery,kidnapping,rape,safety_index,#_schools,#_parks,#_hospitals,#_restaurants,businessman
AIIMS,36,3,0,1,1,0,0,0,35,0,59,51,59,59,0
Adarsh Nagar,3,2,0,0,1,0,0,0,2,76,60,48,59,60,1
Adchini,0,0,0,0,0,0,0,0,0,-1,60,54,60,60,0
Ajmeri Gate,0,0,0,0,0,0,0,0,0,-1,60,57,56,59,0
Akbarpur Majra,0,0,0,0,0,0,0,0,0,-1,58,52,60,60,0
Akshardham,0,0,0,0,0,0,0,0,0,-1,60,48,55,60,0
Alaknanda,0,0,0,0,0,0,0,0,0,-1,60,55,59,59,0
Alipur,0,0,0,0,0,0,0,0,0,-1,58,51,60,60,0
Amar Colony,0,0,0,0,0,0,0,0,0,-1,60,54,60,60,0
Anand Vihar,0,0,0,0,0,0,0,0,0,-1,58,56,57,60,0
Arjun Nagar,0,0,0,0,0,0,0,0,0,-1,60,50,59,60,0
Ashok Nagar,0,0,0,0,0,0,0,0,0,-1,59,53,60,60,0
Ashok Vihar,0,0,0,0,0,0,0,0,0,-1,60,53,60,59,0
Ashram,0,0,0,0,0,0,0,0,0,-1,59,50,60,60,0
Asian Games Village Complex,0,0,0,0,0,0,0,0,0,-1,59,54,60,60,0
Aya Nagar,0,0,0,0,0,0,0,0,0,-1,59,55,22,53,0
Azad Nagar,0,0,0,0,0,0,0,0,0,-1,58,13,59,17,0
Azadpur,0,0,0,0,0,0,0,0,0,-1,56,50,59,60,0
Babarpur,0,0,0,0,0,0,0,0,0,-1,59,54,59,60,0
Badarpur,0,0,0,0,0,0,0,0,0,-1,59,56,59,58,0
Badli,0,0,0,0,0,0,0,0,0,-1,59,52,60,60,0
Bakhtawarpur,0,0,0,0,0,0,0,0,0,-1,58,52,59,59,0
Balbir Nagar,0,0,0,0,0,0,0,0,0,-1,60,52,59,59,0
Bali Nagar,0,0,0,0,0,0,0,0,0,-1,60,47,59,60,0
Bapa Nagar,0,0,0,0,0,0,0,0,0,-1,59,53,56,60,0
Barakhamba Road,0,0,0,0,0,0,0,0,0,-1,60,56,58,60,0
