location,address,latitude,longitude
Adarsh Nagar,"Adarsh Nagar, Bindapur, South West Delhi, Delhi, India",28.6141925,77.07154118
Adchini,"Adchini, Saidulajaib Extension, South Delhi, Delhi, India",28.537024,77.19822732
Ajmeri Gate,"Ajmeri Gate, Lal Kuan Bazar, Sita Ram Bazaar, Chandni Chowk, Old Delhi, Delhi, Central Delhi, Delhi, 110006, India",28.64630325,77.22406204
Akbarpur Majra,"Akbarpur Majra, North Delhi, Delhi, India",28.83496625,77.18784449
Akshardham,"Swaminarayan's Akshardham Temple, NH24 Bypass, Anand Vihar, Samaspur, East Delhi, Delhi, 110091, India",28.61251665,77.2773184
Alaknanda,"Alaknanda, Govindpuri, South East Delhi, Delhi, 110019, India",28.5293364,77.2516323
Alipur,"Alipur, North Delhi, Delhi, 110042, India",28.7959955,77.1360706
Amar Colony,"Amar Colony, Lajpat Nagar IV, South East Delhi, Delhi, India",28.5615391,77.2431499
Anand Vihar,"Anand Vihar, Hari Nagar, West Delhi, Delhi, India",28.6256914,77.10194107
Arjun Nagar,"Arjun Nagar, Mehrauli, South Delhi, Delhi, India",28.5613346,77.198257
Ashok Nagar,"Ashok Nagar, West Delhi, Delhi, India",28.6360207,77.101822
Ashok Vihar,"Ashok Vihar, Ashok Vihar Road, Ashok Vihar - II, North Delhi, Delhi, 110035, India",28.6994533,77.1848256
Ashram,"Ashram, South East Delhi, Delhi, India",28.57517675,77.25693154
Asian Games Village Complex,"Asian Games Village, Saidulajaib Extension, South Delhi, Delhi, India",28.5478449,77.2186481
Aya Nagar,"Aya Nagar, South Delhi, Delhi, India",28.47649105,77.13291316
Azad Nagar,"Azad Nagar, Shahdara, Delhi, India",28.66268205,77.27951461
Azadpur,"Azadpur, North Delhi, Delhi, India",28.7076568,77.1755473
Babarpur,"Babarpur, Shahdara, Delhi, 110053, India",28.6874305,77.2797551
Badarpur,"Badarpur, Badarpur Metro Station, Mathura Road, Mohan Co-op Indl Estate, South East Delhi, Delhi, 121010, India",28.4931698,77.3030239
Badli,"Badli, North Delhi, Delhi, India",28.7337476,77.1440045
Bakhtawarpur,"Bakhtawarpur, North Delhi, Delhi, 10084, India",28.8234587,77.173144
Balbir Nagar,"Balbir Nagar, Shahdara, Delhi, 110032, India",28.6837898,77.2907538
Bali Nagar,"Bali Nagar, West Delhi, Delhi, India",28.6541384,77.128178
Bapa Nagar,"Bapa Nagar, Delhi, Central Delhi, Delhi, India",28.6542692,77.180901
Barakhamba Road,"Barakhamba Road, Shankar Market, New Delhi, Delhi, 110 001, India",28.6291417,77.2261489
Batla house,"Batla House, South East Delhi, Delhi, India",28.56584355,77.28573915
Bawana,"Bawana, North Delhi, Delhi, India",28.79966,77.0328847
Begumpur,"Begumpur, Basant Kaur Marg, Bhavishya Nidhi Enclave, Navjeevan Vihar, Saidulajaib Extension, South Delhi, Delhi, 110017, India",28.5369782,77.2099406
Ber Sarai,"Ber Sarai, Mehrauli, South Delhi, Delhi, India",28.54843765,77.18147936
Bhagwan Das Road,"Bhagwan Das Road, Shankar Market, New Delhi, Delhi, 110 001, India",28.6218519,77.2359338
Bhajanpura,"Bhajanpura, Khajuri, North East Delhi, Delhi, 110053, India",28.701012,77.2609711
Bhalswa,"Bhalswa Jahangirpuri, North Delhi, Delhi, India",28.7432872,77.16733349
Bharat Nagar,"Bharat Nagar, North West Delhi, Delhi, India",28.6812684,77.1807147
Bhikaji Cama Place,"Bhikaji Cama Place, New Delhi, Delhi, India",28.56790025,77.18701648
Bhogal,"Bhogal, South East Delhi, Delhi, India",28.5825888,77.24892416
Bijwasan,"Bijwasan, South West Delhi, Delhi, India",28.5348303,77.0534531
Bindapur,"Bindapur, South West Delhi, Delhi, 110059, India",28.61455165,77.06834342
Bodella,"Bodella, Vikaspuri, West Delhi, Delhi, India",28.6372979,77.06979988
Budh Vihar,"Budh Bazar Road, S, Sainik Vihar II, West Delhi, Delhi, 110078, India",28.6366684,77.0321132
Burari,"Burari, Doctor KB Hedgewar Marg, Indira Vikas Colony, North Delhi, Delhi, 110084, India",28.753882,77.194833
Central Secretariat,"Central Secretariat, New Delhi, Delhi, 110004, India",28.614128,77.205615
Chanakyapuri,"Chanakyapuri, New Delhi, Delhi, 110021, India",28.5946775,77.1885212
Chandni Chowk,"Chandni Chowk, Dharampura, Chandni Chowk, Old Delhi, Delhi, Central Delhi, Delhi, 110006, India",28.6562654,77.2299093
Chattarpur,"Chattarpur, Saidulajaib Extension, South Delhi, Delhi, 110074, India",28.4971399,77.1812506
Chattarpur Extension,"Chattarpur, Saidulajaib Extension, South Delhi, Delhi, 110074, India",28.4971399,77.1812506
Chawri Bazar,"Chawri Bazar, Chawri Bazaar, Chandni Chowk, Old Delhi, Delhi, Central Delhi, Delhi, 110006, India",28.6501605,77.2295008
Chhatarpur,"Chhatarpur, Acharya Shri Tulsi Marg, Chattarpur Farms, Kishangarh, Mehrauli, South Delhi, Delhi, 110074, India",28.5067242,77.1750019
Chhawla,"Chhawla, Chhawala, South West Delhi, Delhi, India",28.5629524,77.004182
Chirag Delhi,"Chirag Delhi, Tigri, South Delhi, Delhi, India",28.5381411,77.2280694
Chittaranjan,"Chittaranjan Park, South East Delhi, Delhi, India",28.5387523,77.24924935
Chittaranjan Park,"Chittaranjan Park, South East Delhi, Delhi, India",28.5387523,77.24924935
Civil Lines,"Civil Lines, Sham Nath Marg, Civil Lines, Delhi, Central Delhi, Delhi, 110054, India",28.6768508,77.2250299
Connaught Place,"Connaught Place, Radial Road 1, Pallika Bazaar, New Delhi, Delhi, 110001, India",28.6313827,77.2197924
Dabri,"Dabri, Dada Satram Mamtani Marg, Janakpuri, West Delhi, Delhi, 110058, India",28.6107697,77.09110591
Dakshinpuri,"Dakshinpuri, Ambedkar Nagar, Tigri, South Delhi, Delhi, India",28.5192294,77.23747872
Daryaganj,"Daryaganj, Old Delhi, Delhi, Central Delhi, Delhi, India",28.64609,77.243048
Dashrath Puri,"dashrath puri, a-55, Street No 3, Janakpuri, South West Delhi, Delhi, 110045, India",28.605016,77.0837828
Daya Basti,"Daya Basti, Swami Narayan Marg, Sadar Bazar, Delhi, Central Delhi, Delhi, 110015, India",28.6676302,77.1804175
Defence Colony,"Defence Colony, South East Delhi, Delhi, India",28.5717909,77.2320102
Delhi Central,"Delhi, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388
Delhi Dwarka,"Delhi Apartments, Sector 22, Dwarka, New Delhi, Delhi, India",28.55816925,77.05484223
Dera Mandi,"Dera Mandi Road, Dera, South Delhi, Delhi, 110047, India",28.443043,77.1480267
Devli,"Devli Crossing, Mehrauli Badarpur Road, Madangir, Navjeevan Vihar, Tigri, South Delhi, Delhi, 110080, India",28.5138992,77.2349329
Dhaula Kuan,"Dhaula Kuan, NH48, Arjan Vihar, Delhi Cantonment, New Delhi, Delhi, 110010, India",28.5918905,77.1617034
Dilshad Garden,"Dilshad Garden, GT Road, Dilshad Garden, Shahdara, Delhi, 201011, India",28.6758257,77.3215163
Dwarka,"Dwarka, South West Delhi, Delhi, India",28.577813,77.05824059
Dwarka Mor,"Dwarka Mor, Shivaji Marg, R Block, Nawada, West Delhi, Delhi, 110059, India",28.619332,77.0332758
Dwarka Sector 11,"Dwarka Sector 11, Road 205, Sector 9, Dwarka, South West Delhi, Delhi, 110077, India",28.5864469,77.0494375
Dwarka Sector 12,"Dwarka Sector 12, Road 205, Sector 13, Dwarka, South West Delhi, Delhi, 110078, India",28.5922186,77.0407179
Dwarka Sector 13,"Dwarka Sector 13, Internal road, metro view apartments, Sector 13, Dwarka, South West Delhi, Delhi, 110078, India",28.597009,77.0335407
Dwarka Sector 14,"Dwarka Sector 14, Road 205, Sector 13, Dwarka, South West Delhi, Delhi, 110078, India",28.60225285,77.02595656
Dwarka Sector 15,"Dwarka Sector ?, Road 201, Sector 4, Dwarka, West Delhi, Delhi, 110078, India",28.602684,77.0432335
Dwarka Sector 16,"Dwarka Sector ?, Road 201, Sector 4, Dwarka, West Delhi, Delhi, 110078, India",28.602684,77.0432335
Dwarka Sector 16 A,"Dwarka Sector ?, Road 201, Sector 4, Dwarka, West Delhi, Delhi, 110078, India",28.602684,77.0432335
Dwarka Sector 16 B,"Dwarka Sector ?, Road 201, Sector 4, Dwarka, West Delhi, Delhi, 110078, India",28.602684,77.0432335
Dwarka Sector 17,"Dwarka, South West Delhi, Delhi, India",28.577813,77.05824059
Dwarka Sector 18,"Dwarka Sector ?, Road 201, Sector 4, Dwarka, West Delhi, Delhi, 110078, India",28.602684,77.0432335
Dwarka Sector 19,"Dwarka, Sector 19, Dwarka, South West Delhi, Delhi, 110077, India",28.5771915,77.0442935
Dwarka Sector 19B,"Dwarka, Sector 19, Dwarka, South West Delhi, Delhi, 110077, India",28.5771915,77.0442935
Dwarka Sector 2,"Dwarka Sector ?, Road 201, Sector 4, Dwarka, West Delhi, Delhi, 110078, India",28.602684,77.0432335
Dwarka Sector 20,"Dwarka Sector ?, Road 201, Sector 4, Dwarka, West Delhi, Delhi, 110078, India",28.602684,77.0432335
Dwarka Sector 21,"Dwarka Sector 21, Road 205, Sector 9, Dwarka, South West Delhi, Delhi, 110077, India",28.5519218,77.0585605
